skill,skill_ID
knowledge transfer,1246
communication,478
wiki,2615
java,1174
html5,1036
ios,1135
c,315
android (operating system),110
iot,1136
sap hana cloud,2004
microsoft powerpoint,1413
microsoft outlook,1411
microsoft excel,1408
web development,2585
microsoft office,1410
microsoft word,1421
hadoop,979
machine learning,1339
apache spark,130
sap hana,2003
statistics,2287
python,1794
apache hive,123
self motivated,2110
border gateway protocol,269
ip protocol,1142
internet protocol suite,1127
written communication skills,2648
english language,818
sap netweaver business warehouse,2026
erp,831
sap abap,1962
speaking,2236
sum,2310
s/4hana,1933
sap erp,1997
os,1637
hana database,986
database,652
application programming interface,154
devops,726
amazon web services,85
processes,1759
web applications,2575
software architecture,2188
sap hybris,2015
lamp (software bundle),1258
information technology infrastructure library,1098
puppet (software),1792
automation,210
cissp,379
ansible,115
threat modeling,2420
cloud computing,397
google cloud platform,959
risk analysis,1911
apache tomcat,132
waf,2561
microsoft azure,1406
ruby (programming language),1925
redhat,1849
awk,218
sql,2260
search cluster,2087
hybris cloud,1047
bash,239
solr,2214
debugging,685
debian,683
relational databases,1862
perl,1680
hybris cloud services automation,1048
regular expressions,1857
dynatrace,775
sh,2148
scripting,2067
sed,2093
jvm optimization,1229
java ee,1184
objective c,1558
spring,2245
c sharp (programming language),317
java web,1192
software as a service,2190
kvm,1253
virtualization,2523
capex,336
opex,1613
problem solving,1751
social network,2182
vmware,2542
vxlan,2557
analytical thinking,101
vrf,2552
software defined networking,2193
virtual lan,2519
load balancing,1318
openstack,1604
speed learning,2240
attention to detail,190
quality assurance,1807
scrum,2073
web design,2584
ui5,2462
agile software development,52
javascript,1193
dynamic host configuration protocol,774
hcm solution,1006
linux,1297
nas,1493
pingdom,1688
cisco ccna,374
virtual ip,2518
firewall,886
domain name system,767
zabbix,2672
business bydesign,299
saas cloud delivery,1945
active directory,24
splunk,2242
storage san,2290
nagios,1492
sap successfactors,2039
sap netweaver,2025
hana xs engine,994
microsoft windows,1420
unix,2472
sapui5,2048
web service,2596
agile project delivery,49
frontend code,910
kanban,1234
angularjs,113
odata,1563
customer relationship management,606
soap,2176
cascading style sheets,337
representational state transfer,1877
agile scrum,51
css,588
sap crm,1992
gtm,976
mtech,1465
sap ase,1970
btech,282
scoping,2061
e2e,781
logical thinking,1329
presentation,1726
csc,583
coordination,552
decision making,688
c++,318
xml,2657
object oriented programming,1555
java (programming language),1175
internet,1124
oo,1579
modeling,1439
lan,1259
hypervisor,1054
checkpoint,364
arista,175
wans,2562
firewalls,888
cisco,371
virtual private network,2522
f5,856
wlan,2626
kpis,1251
ddi,681
chef automation,366
sme,2171
collaboration,468
f5 load balancers,859
suse,2313
microsoft,1404
nlp,1527
architecture,166
computer vision,504
artificial intelligence,178
natural language processing,1495
visual & interaction design,2526
data science,641
github,941
deep learning,690
sap hana db,2008
microsoft sql server,1416
.net c,2
centos,353
network protocols,1508
vmware vrealize,2546
ip,1137
performance tuning,1679
visual basic,2527
unix shell,2476
windows powershell,2619
amazon aws,75
design,701
user interface,2487
user experience,2481
emea,808
sybase ase,2322
sap cloud platform,1983
sdk,2081
sap cloud,1980
siem,2154
chef,365
cisco unified computing system (ucs),377
vpc,2549
isp,1155
juniper,1225
multiprotocol label switching,1483
ccnp,339
open shortest path first,1595
spectrum,2238
cisco career certifications,373
ccsp,341
shell,2150
sap business suite,1974
mysql,1490
technical analysis,2362
windows server,2621
ibm aix,1064
sap businessobjects,1976
ibm db2,1065
ase,181
sql anywhere,2261
english communication,816
oracle,1616
platform,1694
software cloud architecture,2191
vcp,2500
xen,2654
vmware vsphere,2547
time management,2421
project management,1777
maxdb,1367
programming language,1771
knowledge transfer sessions,1247
aig,62
linux operating,1309
microsoft power bi,1412
t sql,2336
sap jam,2019
mongodb,1447
database administrator,653
sap iq,2018
cvs,611
salt,1954
shell scripting,2151
perforce,1670
sap ariba,1968
subversion,2302
access,18
mobile,1428
computer multitasking,500
linux pacemaker,1311
technical documentation,2369
emc autostart,805
mscs,1459
windows operating,2617
cluster computing,438
analytics,102
mobility,1432
devops cmsd,727
sharepoint,2149
quick decision making,1824
database systems,668
sap hybris cloud,2017
multitasking abilities,1484
twitter,2444
data models,636
poc,1701
rdbms,1835
data processing,639
queries,1814
data modeling,634
python scripting,1796
saas cloud,1944
wildfly,2616
security,2089
hana analytics,981
application servers,157
it service management,1159
docker,755
vbscript,2499
scripting languages,2070
hyper v,1050
iscsi,1150
emc,804
xsd,2663
cifs,368
suse linux,2314
netapp,1499
hana platform,991
load balancers,1317
hypertext transfer protocol,1053
oracle weblogic server,1619
udp,2449
kernel,1239
san,1959
oca,1561
written communications,2649
ibm websphere,1066
glassfish,944
rhce,1907
nginx,1523
simple mail transfer protocol,2157
sybase,2321
vlans,2538
ssl,2276
pmi pmp,1698
microsoft iis,1409
solaris,2212
shell scripts,2153
source code,2226
nfs,1522
file system,873
red hat enterprise linux,1848
technical leadership,2370
gnu,947
cisa,370
vulnerability management,2555
pci dss,1663
configuration management,511
iec,1076
hipaa,1023
intrusion detection,1132
iso,1153
cism,378
giac,935
sox,2232
cloud solutions,429
antivirus software,118
jira,1209
apache http server,124
mariadb,1354
writing,2636
imac d,1078
saml sso,1958
amazon web,84
memory database,1380
firewalling,887
git (software),937
odata services,1568
nosql,1534
source control systems,2231
kpi,1250
analytical chemistry,99
postgresql,1709
cassandra,338
redis,1850
source code revision systems,2229
sap replication server,2034
automated testing,206
xpath,2659
soapui,2178
eclipse,788
maven,1363
pl,1690
apache struts,131
dhtml,730
flex,891
j2ee servlet,1166
html,1034
jsps,1223
oracle database,1618
apache ant,121
servlets,2141
hcm cloud,1004
backbone routers,228
data structures,647
deployment,699
scalability,2053
switches,2320
monitoring,1448
icmp,1068
ui design,2454
user empathy,2480
visual design,2529
linguistics,1295
database design,658
bw,312
application development,151
bpc,272
sql scripting,2265
performance analysis,1672
profiling,1767
php,1684
hana xs,993
adobe indesign,38
illustrator,1077
adobe after effects,33
adobe premiere pro,40
adobe photoshop,39
sdo,2084
web programming,2591
ruby on rails,1926
version control,2506
test driven development,2391
integration widgets,1111
authentication,193
sql databases,2263
jsp,1222
saas solutions,1948
lightweight directory access protocol,1293
software testing,2208
saas platform,1947
jdbc,1201
java application server,1176
application clustering,149
protocols,1781
ubuntu,2448
test automation,2380
error analysis,834
qa,1798
.net,1
uml,2466
jenkins,1205
swift,2318
jsf,1219
object oriented programming languages,1556
integration test,1109
animation,114
scala,2052
waterfall,2563
datacenter,675
sysadmin,2325
sap hcp,2014
cpm,564
sans serif,1961
calibri,330
http secure,1037
sftp,2147
word editing,2628
presentations,1732
spreadsheet,2244
sap maxdb,2023
perl scripting,1681
l2,1254
performance,1671
successfactors hcm cloud,2304
asp classic,182
arcsight,168
snort,2173
network architecture,1504
data analysis,620
innovation,1103
business objects,305
slas,2164
cloud delivery,398
power shell,1713
prototyping,1784
ajax (programming),63
rac,1831
linux  lvm,1298
cisco ucsm,376
scsa,2077
oracle  solaris,1617
sssd,2279
ntp,1539
solarwinds,2213
hp,1029
red hat clustering,1847
gpo,962
powershell scripting,1714
hcm cloud platform,1005
patch management,1661
change management,360
power path mpio,1712
native,1494
unix os,2475
wireless,2624
performance profiling,1675
jprofiler,1216
mongo db,1446
cloud storage,431
test scripts,2403
software design,2195
technical design specifications,2368
oo software architecture,1584
automated test scripts,204
continuous integration,544
selenium,2095
svn,2315
lean,1273
self learning,2107
wire framing,2622
adobe illustrator,37
infrastructure,1099
servicenow,2139
hcm,1003
ips,1145
web architectures,2576
ids,1073
fedramp,867
ipsec,1146
amazon s3,82
clustering,442
test plans,2400
automation tools,216
command line interface,474
build automation,287
amazon ec2,78
rds,1838
vpcs,2550
hec,1011
hcp,1007
emc networker,806
project quality management,1779
design documents,702
code reviews,461
coding,462
"arial""",170
mac os,1337
linear algebra,1294
skype,2162
mca,1368
release processes,1868
cd tools,345
containers,532
integration,1106
build,286
bamboo,237
data migration,633
sd,2079
tdms,2347
co,444
vms,2541
json,1220
jquery,1217
backbone.js,229
problem resolution,1748
conceptual thinking,506
business reporting,308
network,1502
cross platform,578
self confidence,2100
high energy,1019
performance management,1673
os x,1639
knowledge management,1245
r (programming language),1828
sas,2049
data management,631
spss,2259
server client computing,2123
monitoring tools,1449
encryption,809
recovery solutions,1846
ping pong,1687
sqlscript,2271
d3,615
sap fiori,2000
apm,142
e commerce,776
cd,342
relational,1858
sles,2165
search,2086
mttr,1466
documentation,760
mysql database,1491
sap business bydesign,1972
lucene,1333
active mq,25
conflict resolution,514
devlab,725
ssh,2274
maintain perl,1344
ariba cloud,171
computer science,502
db views,679
customer focus,597
fault tolerance,864
database programming,665
akamai,65
design patterns,703
gomez,956
front end technologies,908
html element,1035
ms office tools,1458
problem solver,1750
geospatial,931
code review,459
ie java script,1074
scripting language,2069
sap ui,2045
cordova,553
iphone,1144
responsive web design,1884
power of innovation,1711
dom,765
microsoft team foundation server (tfs),1417
sap ariba cloud,1969
gdpr,930
soc,2179
dlp,752
grc,972
owasp top 10,1645
bsi,281
coso,560
cobit5,448
itilv3,1162
logic,1327
root cause analysis,1917
storage,2288
microsoft project,1414
emc vnx,807
microsoft visio,1418
ssl vpn,2277
cisco aci,372
fortigate,902
vmware nsx,2545
paolo alto,1658
compute,496
confluence,515
sdks,2082
opentext,1605
web technologies,2601
bladelogic,259
samba,1956
sendmail,2118
programming logic,1772
operating systems,1611
data warehousing,650
continuous improvement,543
problem management,1747
sap analytics,1963
hec infrastructure,1012
project coordination,1775
spanish language,2233
design studio,708
assembly language,184
single sign on,2159
saml,1957
the open group architecture framework,2414
data integration,630
open source,1596
sap cloudfoundry,1988
oral communication skills,1624
mcd,1371
team player,2353
client,382
database backup,656
database technologies,670
saas multitenant environment architecture,1946
infrastructure automation,1100
creativity,570
aws cloud,219
compliance,493
certificates,355
sdlc,2083
web server,2594
busconfigsets,294
img,1080
open stack,1600
paas,1649
relationship building,1863
predictive modeling,1723
relational database,1859
asp.net,183
microsoft visual studio,1419
stored procedures,2293
spc,2235
rest apis,1885
unit testing,2470
ipv6,1148
isis,1152
pim,1686
negotiation,1496
axure rp,221
wireframes,2623
interaction design,1119
yaas,2668
brf+,275
coreos,557
swarm,2317
sap fieldglass,1999
alibaba,70
container technologies,526
kubernetes,1252
hypervisors,1055
container technology,527
f5 load balancer,858
cisco networking,375
wireshark,2625
nexus,1521
crisc,571
sans,1960
content management,533
database tables,669
query language,1816
query optimization,1818
business intelligence,302
cloud security,425
mcafee epo,1370
sap pi,2030
c4c,322
hci,1002
byd,313
software coding,2192
sap c4c,1979
uft,2450
hp quality center,1030
test cases,2388
hbase,1001
sentiment analysis,2120
no sql databases,1530
apache kafka,125
hdfs,1009
classification,380
ee,796
segmentation,2094
storm,2294
web app,2569
ibm,1063
intel,1114
oriented programming,1633
specifications,2237
systems analysis,2333
business process,306
math,1358
data warehouse,649
lumira,1334
continuous learning,546
web intelligence,2589
metadata management,1391
vrrp,2553
hsrp,1033
information technology,1097
software quality assurance,2205
orm,1634
performance testing,1677
database integration,660
rundeck,1928
ruby rails,1927
django,749
monsoon,1450
matplotlib,1362
numpy,1541
proxy,1786
automation scripts,212
p&i,1647
leadership,1271
sap s,2035
ui automation,2451
cent os,352
cryptography,581
kerberos,1238
file transfer protocol,874
tor  flistinglayout',2428
elk stack,801
continuous delivery,537
mq,1455
pi,1685
saas applications,1943
scaling,2055
po,1700
business,295
calculation views,329
portuguese language,1706
operating,1608
csv,590
scripts,2072
code,449
customer service,608
vmware esx,2544
implementation,1082
wsus,2651
migration,1423
e learning,777
self starter,2116
ariba network,174
data services,644
process management,1757
w,2559
arquillian,176
schema design,2056
etl,840
ajax redux angular react webpack node,64
frontend,909
microservices,1402
npm,1538
nist,1526
ceh,351
cobit,447
isf,1151
organizational skills,1630
cipp,369
cloud integration,412
s/4 hana cloud,1930
testng,2409
test automation frameworks,2382
junit,1226
osi,1642
work independently,2630
troubleshooting,2438
sap hana vora,2013
web dynpro,2586
ecatt,786
self management,2109
start,2283
applications,158
matlab,1361
consensus building,517
maxattention,1366
test management,2397
nosql databases,1536
test execution,2394
system integration,2330
user interface testing,2490
extreme programming,855
acceptance testing,17
jmeter,1211
self driven,2104
cloud platforms,422
layer,1267
languages,1262
noc,1531
xi,2656
ale,67
srm,2273
product lifecycle management,1762
arial,169
capability maturity model integration,335
ad,28
routers,1919
fisma,889
results orientation,1898
enterprise resource planning,823
regression,1854
qa processes,1800
fiori apps,879
mm,1427
fieldglass,872
sap concur,1989
gateway,924
amazon,74
data security,643
apache,120
netweaver abap,1500
data visualization,648
sap ui5,2046
dimensional modeling,734
node.js,1532
quantitative problem solving,1813
algorithms,68
agile frameworks,46
co innovation,445
cloud platform,420
tco,2345
l3,1255
psychoanalysis,1788
tcpdump,2346
hybris billing,1046
access methods,19
sap hana database,2007
synchronization mechanism,2324
multithreading,1486
smp,2172
memory management,1382
concurrency control,509
distributed database design,739
data base architectures,621
systems design,2334
cluster file system,439
query processing,1820
