
Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
Amazon QuickSight,Analytics,BI Platforms,,,
AtScale,Analytics,BI Platforms,,,
Bime Analytics,Analytics,BI Platforms,Acquired by Zendesk in October 2015,2015,
Birst,Analytics,BI Platforms,Acquired by Infor in April 2017,2017,
Domo,Analytics,BI Platforms,IPO in June 2018,2018,
GoodData,Analytics,BI Platforms,,,
Information Builders,Analytics,BI Platforms,,,
Jaspersoft,Analytics,BI Platforms,Acquired by Tibco in April 2014,2014,
Kyvos Insights,Analytics,BI Platforms,,,
Microstrategy,Analytics,BI Platforms,,,
Platfora,Analytics,BI Platforms,Acquired by Workday in July 2016,2016,Video
Qlik,Analytics,BI Platforms,Acquired by Thoma Bravo in August 2016,2016,Video
Salesforce Einstein Analytics,Analytics,BI Platforms,,,
Sisense,Analytics,BI Platforms,,,Video
ThoughtSpot,Analytics,BI Platforms,,,
20BN,Analytics,Computer Vision,,,
Aibee,Analytics,Computer Vision,,,
Amazon Rekognition,Analytics,Computer Vision,,,
Clarifai,Analytics,Computer Vision,,,Video
Cloudwalk,Analytics,Computer Vision,,,
DataGrid,Analytics,Computer Vision,,,
Deepomatic,Analytics,Computer Vision,,,
Ever AI,Analytics,Computer Vision,,,
Face++,Analytics,Computer Vision,,,
Google Cloud Vision,Analytics,Computer Vision,,,
Microsoft Azure,Analytics,Computer Vision,,,
Neurala,Analytics,Computer Vision,,,
Onfido,Analytics,Computer Vision,,,
Scape,Analytics,Computer Vision,,,
SenseTime,Analytics,Computer Vision,,,
Synthesia,Analytics,Computer Vision,,,
Trax,Analytics,Computer Vision,,,
Ubiquity6,Analytics,Computer Vision,,,
YITU Technology,Analytics,Computer Vision,,,
Alteryx,Analytics,Data Analyst Platforms,,,
Anodot,Analytics,Data Analyst Platforms,,,
Arimo,Analytics,Data Analyst Platforms,Acquired by Panasonic in October 2017,2017,Video
Ascend.io,Analytics,Data Analyst Platforms,,,
Attivio,Analytics,Data Analyst Platforms,,,
Automated Insights,Analytics,Data Analyst Platforms,Acquired by Vista Equity Partners/STATS in February 2015,2015,Video
Ayasdi,Analytics,Data Analyst Platforms,,,Video
Blockspring,Analytics,Data Analyst Platforms,Acquired by Coinbase in January 2019,2019,
Bottlenose,Analytics,Data Analyst Platforms,,,
Cirro,Analytics,Data Analyst Platforms,,,
ClearStory Data,Analytics,Data Analyst Platforms,Acquired by Alteryx in April 2019,2019,Video
Connotate,Analytics,Data Analyst Platforms,Acquired by import.io in February 2019,2019,
Datameer,Analytics,Data Analyst Platforms,,,Video
Dataspora,Analytics,Data Analyst Platforms,Acquired by Via Science in 2011,2011,
Digital Reasoning,Analytics,Data Analyst Platforms,,,
Endor,Analytics,Data Analyst Platforms,,,Video
Glassbeam,Analytics,Data Analyst Platforms,,,
Guavus,Analytics,Data Analyst Platforms,Acquired by Thales in April 2017,2017,
Incorta,Analytics,Data Analyst Platforms,,,
Interana,Analytics,Data Analyst Platforms,,,Video
Karmasphere,Analytics,Data Analyst Platforms,Acquired by FICO in April 2014,2014,
Kimono Labs,Analytics,Data Analyst Platforms,Acquired by Palantir in February 2016,2016,
Lavastorm,Analytics,Data Analyst Platforms,Acquired by Infogix in March 2018,2018,
Luminoso,Analytics,Data Analyst Platforms,,,
Microsoft Analytics Platform,Analytics,Data Analyst Platforms,,,
Mode Analytics,Analytics,Data Analyst Platforms,,,#REF!
Narrator,Analytics,Data Analyst Platforms,,,
Origami Logic,Analytics,Data Analyst Platforms,Acquired by Intuit in May 2019,2019,
Outlier.ai,Analytics,Data Analyst Platforms,,,
Pentaho,Analytics,Data Analyst Platforms,Acquired by Hitachi in February 2015,2015,
Pervasive,Analytics,Data Analyst Platforms,Acquired by Actian in January 2013,2013,
Precog,Analytics,Data Analyst Platforms,Acquired by RichRelevance in August 2013,2013,Video
