,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
820,11-3021.00,Computer and Information Systems Managers,ACT! Premium,43232303,Customer relationship management CRM software,N
821,11-3021.00,Computer and Information Systems Managers,Adobe Systems Adobe Distiller,43232112,Desktop publishing software,N
822,11-3021.00,Computer and Information Systems Managers,Adobe Systems Adobe Flash,43232102,Graphics or photo imaging software,N
823,11-3021.00,Computer and Information Systems Managers,Adobe Systems Adobe Flex,43232408,Web platform development software,N
824,11-3021.00,Computer and Information Systems Managers,Advanced business application programming ABAP,43232405,Object or component oriented development software,Y
825,11-3021.00,Computer and Information Systems Managers,Alpha Four,43232304,Data base management system software,N
826,11-3021.00,Computer and Information Systems Managers,Amazon Web Services AWS software,43232306,Data base user interface and query software,Y
827,11-3021.00,Computer and Information Systems Managers,Apache Cassandra,43232304,Data base management system software,Y
828,11-3021.00,Computer and Information Systems Managers,Apache Hadoop,43232304,Data base management system software,Y
829,11-3021.00,Computer and Information Systems Managers,Apache HTTP Server,43232312,Portal server software,Y
830,11-3021.00,Computer and Information Systems Managers,Apache Maven,43232402,Development environment software,N
831,11-3021.00,Computer and Information Systems Managers,Apache Pig,43232304,Data base management system software,Y
832,11-3021.00,Computer and Information Systems Managers,Apache Solr,43232304,Data base management system software,Y
833,11-3021.00,Computer and Information Systems Managers,Apache Tomcat,43232408,Web platform development software,Y
834,11-3021.00,Computer and Information Systems Managers,Apple Final Cut Pro,43232103,Video creation and editing software,N
835,11-3021.00,Computer and Information Systems Managers,Apple iMovie,43232103,Video creation and editing software,N
836,11-3021.00,Computer and Information Systems Managers,Apple iWork Keynote,43232106,Presentation software,N
837,11-3021.00,Computer and Information Systems Managers,Apple iWork Numbers,43232110,Spreadsheet software,N
838,11-3021.00,Computer and Information Systems Managers,Apple iWork Pages,43232104,Word processing software,N
839,11-3021.00,Computer and Information Systems Managers,Apple macOS,43233004,Operating system software,Y
840,11-3021.00,Computer and Information Systems Managers,Assembler,43232402,Development environment software,N
841,11-3021.00,Computer and Information Systems Managers,Atlassian JIRA,43232201,Content workflow software,Y
