,skill
java,6550
javascript,3936
sap hana,3203
agile,2509
python,2472
sql,2436
problem solving,2427
sap abap,2374
scrum,2186
linux,2109
communication,2046
english,1974
css,1822
s/4hana,1808
html,1792
cloud,1768
git,1747
devops,1635
c++,1547
jenkins,1452
html5,1444
web,1393
aws,1351
unix,1329
sap successfactors,1295
c,1261
docker,1229
machine learning,1220
agile development,1168
sap ariba,1123
kubernetes,1118
ui,1107
analytical,1084
data structures,1042
communication skills,995
azure,993
sap fiori,992
saas,983
jquery,971
odata,960
rest,896
algorithms,876
database,860
oracle,844
sap hybris,806
perl,798
team player,786
sap cloudfoundry,784
programming,779
j2ee,760
spring,742
erp,740
ci,736
windows,733
web services,707
xml,704
software development,702
design,699
ruby,679
sap cloud platform,664
test driven development,662
hadoop,635
databases,630
node.js,618
coding,600
mysql,592
german,585
github,582
jira,581
ui5,578
chef,554
automation,548
tomcat,544
test automation,540
gcp,538
tcp,532
continuous integration,524
maven,519
angularjs,517
testing,514
design patterns,501
cd,501
test,499
bash,495
puppet,479
ux,478
react,477
shell,449
go,449
iot,448
scripting,441
development,439
angular,439
sql server,436
debugging,422
json,421
sapui5,421
programming skills,414
sap ui5,414
object oriented programming,411
ip,411
ios,400
openstack,396
networking,394
java script,392
analytical skills,389
dns,388
web applications,377
sap cloud,375
crm,371
integration,370
sap netweaver,366
ansible,365
agile software development,356
tdd,356
project management,355
nosql,353
collaboration,353
android,353
rdbms,346
kafka,343
sap s,342
iaas,341
self motivated,337
virtualization,330
sap hana cloud,328
presentation,326
excel,326
db2,326
junit,322
analytical thinking,322
soap,318
relational database,317
hibernate,317
nodejs,317
oop,316
itil,315
ajax,314
spark,313
http,308
css3,308
splunk,306
s/4 hana cloud,305
agile scrum,300
automated testing,299
scala,296
kanban,295
hcm cloud,295
selenium,293
spring boot,289
vmware,285
analytics,283
self starter,275
work independently,274
lean,274
microservices,273
scripting languages,269
web technologies,268
powershell,267
powerpoint,267
skills,267
relational databases,263
quality assurance,262
google cloud,259
jsp,255
paas,254
eclipse,254
shell scripting,252
sybase,250
design thinking,248
apache,246
continuous delivery,240
self motivated can do attitude,238
performance tuning,237
web development,235
golang,233
security,231
architecture,230
gerrit,228
load balancing,227
postgresql,226
